Nodes,Hops,Platform,Max (ms),Min (ms),Mean (ms),Std Dev (ms),Median (ms),Jitter (ms),Samples
R1-R2,1,Mininet,12.3,0.02,0.24,0.94,0.03,0.37,25000
R1-R3,2,Mininet,15.5,0.02,0.3,1.18,0.04,0.47,25000
R1-R6,1,Mininet,20.2,0.02,0.23,0.91,0.03,0.36,25000
R2-R5,2,Mininet,21.5,0.03,0.33,1.27,0.04,0.51,25000
R3-R2,1,Mininet,11.9,0.02,0.23,0.91,0.03,0.36,25000
R3-R6,2,Mininet,21.3,0.03,0.33,1.26,0.04,0.51,25000
R4-R5,1,Mininet,15.0,0.02,0.24,0.95,0.03,0.38,25000
R4-R6,2,Mininet,14.6,0.02,0.31,1.2,0.04,0.49,25000
R6-R1,1,Mininet,12.8,0.02,0.23,0.92,0.03,0.36,25000
R1-R2,1,SEED IE,29.9,0.03,0.66,2.21,0.05,1.05,5000
R1-R3,2,SEED IE,58.2,0.04,0.83,3.12,0.06,1.32,5000
R1-R6,1,SEED IE,38.9,0.03,0.63,2.14,0.05,1.0,5000
R2-R5,2,SEED IE,42.0,0.04,0.91,3.32,0.07,1.43,5000
R3-R2,1,SEED IE,29.0,0.03,0.57,2.03,0.05,0.91,5000
R3-R6,2,SEED IE,52.5,0.04,0.98,3.58,0.07,1.56,5000
R4-R5,1,SEED IE,28.2,0.02,0.63,2.1,0.05,1.0,5000
R4-R6,2,SEED IE,64.3,0.04,0.78,2.96,0.06,1.24,5000
R6-R1,1,SEED IE,52.0,0.02,0.59,2.04,0.05,0.94,5000
